DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Loaded: ca.uhn.hl7v2.model.v22.datatype.ST class: class ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Trying to load: ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Loaded: ca.uhn.hl7v2.model.v22.datatype.ST class: class ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Trying to load: ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Loaded: ca.uhn.hl7v2.model.v22.datatype.ST class: class ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.validation.AbstractValidator - Validating message against 2 message rules
DEBUG main ca.uhn.hl7v2.validation.AbstractValidator - Validating message against 2 message rules
DEBUG main ca.uhn.hl7v2.validation.AbstractValidator - Validating message against 0 encoding rules
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.util.MessageIterator - MessageIterator.hasNext() in direction doesn't exist? true
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.1
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.2
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.3
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.3.1
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.4
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.5
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.5.1
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.6
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.7
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.7.1
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.8
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - No user-defined packages for version 2.8.1
INFO main ca.uhn.hl7v2.util.Home - hapi.home is set to /Users/Alis/eclipse-workspace/hl7-ingestion-parser/.
INFO main ca.uhn.hl7v2.VersionLogger - HAPI version is: 2.3
INFO main ca.uhn.hl7v2.VersionLogger - Default Structure libraries found for HL7 versions 2.1, 2.2, 2.3, 2.3.1, 2.4, 2.5, 2.5.1, 
DEBUG main ca.uhn.hl7v2.conf.store.FileProfileStore - Profile store directory doesn't exist: /Users/Alis/eclipse-workspace/hl7-ingestion-parser/./profiles
DEBUG main ca.uhn.hl7v2.validation.AbstractValidator - Validating message against 0 encoding rules
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Trying to load: ca.uhn.hl7v2.model.v22.message.ORU_R01
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Loaded: ca.uhn.hl7v2.model.v22.message.ORU_R01 class: class ca.uhn.hl7v2.model.v22.message.ORU_R01
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Trying to load: ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Loaded: ca.uhn.hl7v2.model.v22.datatype.ST class: class ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Trying to load: ca.uhn.hl7v2.model.v22.datatype.ST
DEBUG main ca.uhn.hl7v2.parser.DefaultModelClassFactory - Loaded: ca.uhn.hl7v2.model.v22.datatype.ST class: class ca.uhn.hl7v2.model.v22.datatype.ST
